words,labels,entities,term_list
"['CONCOURS', ""D'"", 'ENTRAINEMENT']","['B-Term', 'O', 'B-Term']","{('Term', 2, 2), ('Term', 0, 0)}","['ENTRAINEMENT', 'CONCOURS']"
"['Comment', 'juger', 'un', 'concours', ""d'"", 'entrainement', '?']","['O', 'B-Term', 'O', 'B-Term', 'O', 'B-Term', 'O']","{('Term', 3, 3), ('Term', 1, 1), ('Term', 5, 5)}","['concours', 'juger', 'entrainement']"
"['Après', 'un', 'bon', 'check', 'up', 'général', 'vétérinaire', ',', 'les', 'mois', ""d'"", 'hiver', 'sont', 'souvent', 'mis', 'à', 'profit', 'pour', 'passer', 'son', 'cheval', 'à', 'un', 'niveau', ""d'"", 'épreuve', 'supérieur', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O']","{('Term', 25, 25), ('Term', 20, 20)}","['épreuve', 'cheval']"
"['Cette', 'évolution', 'ne', 'se', 'fait', 'pas', ""d'"", 'un', 'coup', ',', 'elle', 'se', 'prépare', 'progressivement', 'durant', ""l'"", 'année', 'de', 'concours', 'par', 'une', 'préparation', 'physique', 'et', 'une', 'gymnastique', 'quotidiennes', 'qui', 'permettent', ""d'"", 'améliorer', 'de', 'façon', 'quasiment', 'imperceptible', 'une', 'meilleure', 'écoute', 'des', 'aides', 'et', 'une', 'plus', 'grande', 'compréhension', 'amenant', 'plus', 'de', 'souplesse', ',', 'de', 'force', 'et', ""d'"", 'aisance', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 18, 18), ('Term', 39, 39), ('Term', 25, 25), ('Term', 48, 48)}","['concours', 'aides', 'gymnastique', 'souplesse']"
"['Lorsque', 'les', 'mois', ""d'"", 'hiver', 'sont', 'là', 'il', 'est', 'alors', 'temps', 'de', ""s'"", 'essayer', 'aux', 'reprises', 'incluant', 'de', 'nouvelles', 'difficultés', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O']","{('Term', 15, 15)}",['reprises']
"[""C'"", 'est', 'donc', 'là', 'un', 'des', 'objectifs', 'des', 'concours', ""d'"", 'entraînement', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O']","{('Term', 10, 10), ('Term', 8, 8)}","['entraînement', 'concours']"
"['Nous', 'sommes', 'souvent', ',', 'les', 'uns', 'et', 'les', 'autres', ',', 'sollicités', 'par', 'un', 'club', 'voisin', 'pour', 'y', 'venir', 'juger', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 18, 18), ('Term', 13, 13)}","['juger', 'club']"
"['La', 'tâche', 'est', 'souvent', 'difficile', 'car', 'le', 'plus', 'souvent', 'le', 'niveau', 'des', 'cavaliers', 'y', 'est', 'extrêmement', 'disparate', 'et', 'les', 'reprises', 'présentées', 'multiples', 'allant', 'parfois', 'du', 'plus', 'bas', 'niveau', 'aux', 'reprises', 'Pro', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O']","{('Term', 19, 19), ('Term', 12, 12), ('Term', 29, 29)}","['reprises', 'cavaliers', 'reprises']"
"['En', 'général', 'outre', 'le', 'fait', 'de', 'vouloir', 'y', 'prendre', 'de', ""l'"", 'expérience', 'pour', 'eux', 'et', 'pour', 'leur', 'cheval', ',', 'les', 'cavaliers', 'attendent', 'de', 'la', 'part', 'du', 'juge', 'un', 'effet', 'miroir', ',', 'donc', 'une', 'évaluation', 'la', 'plus', 'juste', 'possible', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 26, 26), ('Term', 17, 17), ('Term', 20, 20)}","['juge', 'cheval', 'cavaliers']"
"['A', 'la', 'différence', 'du', 'concours', 'où', 'intervient', 'la', 'notion', 'de', 'classement', ',', 'le', 'concours', ""d'"", 'entraînement', 'permettra', 'au', 'cavalier', 'de', 'décider', 'en', 'fonction', 'des', 'notes', 'attribuées', ',', 'de', 'décider', ""s'"", 'il', 'peut', 'emmener', 'son', 'cheval', 'sur', 'ces', 'nouvelles', 'épreuves', '.']","['O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 34, 34), ('Term', 18, 18), ('Term', 38, 38), ('Term', 13, 13), ('Term', 15, 15), ('Term', 4, 4)}","['cheval', 'cavalier', 'épreuves', 'concours', 'entraînement', 'concours']"
"['Il', 'est', 'donc', 'impératif', 'que', 'la', 'notation', 'reflète', 'aussi', 'fidèlement', 'que', 'possible', 'la', 'reprise', 'et', 'ne', 'diffère', 'pas', 'de', 'ce', ""qu'"", 'elle', 'aurait', 'été', 'sur', 'un', 'officiel', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 13, 13)}",['reprise']
"['Mon', 'conseil', 'aux', 'juges', 'de', 'concours', ""d'"", 'entraînement', 'est', 'donc', 'très', 'clair', ':', 'ne', 'pensez', 'pas', ':', '«', ""c'"", 'est', 'un', 'entraînement', 'donc', 'je', 'note', 'plus', 'large', '!']","['O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 21, 21), ('Term', 3, 3), ('Term', 7, 7), ('Term', 5, 5)}","['entraînement', 'juges', 'entraînement', 'concours']"
"['»', 'mais', 'dites', 'vous', '«', 'le', 'cavalier', 'vient', 'chercher', 'une', 'appréciation', 'qui', 'reflète', 'son', 'travail', 'et', 'qui', 'doit', 'le', 'conforter', 'dans', 'son', 'programme', 'de', 'concours', 'à', 'venir', '»', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O']","{('Term', 6, 6), ('Term', 24, 24)}","['cavalier', 'concours']"
