words,labels,entities,term_list
"['Wind', 'Turbine', 'Technology']","['B-Term', 'I-Term', 'I-Term']","{('Term', 0, 2)}",['Wind Turbine Technology']
"['BWEA', 'Briefing', 'Sheet', 'Wind', 'Turbine', 'Technology']","['O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term']","{('Term', 3, 5)}",['Wind Turbine Technology']
"['Since', 'earliest', 'times', ',', 'man', 'has', 'harnessed', 'the', 'power', 'of', 'the', 'wind', ',', 'with', 'the', 'first', 'mill', 'recorded', 'as', 'long', 'ago', 'as', 'the', '6th', 'century', 'AD', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 11, 11), ('Term', 8, 8), ('Term', 16, 16)}","['wind', 'power', 'mill']"
"['The', 'technology', 'has', 'diversified', 'over', 'the', 'years', 'to', 'include', 'pumping', 'water', ',', 'grinding', 'grain', ',', 'powering', 'sawmills', 'and', 'most', 'recently', 'generating', 'electricity', ',', 'now', 'the', 'fastest', 'growing', 'energy', 'sector', 'worldwide', '.']","['O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O']","{('Term', 27, 27), ('Term', 1, 1), ('Term', 16, 16), ('Term', 21, 21)}","['energy', 'technology', 'sawmills', 'electricity']"
"['Wind', 'turbine', 'technology', 'has', 'developed', 'rapidly', 'in', 'recent', 'years', 'and', 'Europe', 'is', 'at', 'the', 'hub', 'of', 'this', 'hightech', 'industry', '.']","['B-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 18, 18), ('Term', 0, 2)}","['industry', 'Wind turbine technology']"
"['Wind', 'turbines', 'are', 'becoming', 'more', 'powerful', ',', 'with', 'the', 'latest', 'turbine', 'models', 'having', 'larger', 'blade', 'lengths', 'which', 'can', 'utilise', 'more', 'wind', 'and', 'therefore', 'produce', 'more', 'electricity', ',', 'bringing', 'down', 'the', 'cost', 'of', 'renewable', 'energy', 'generation', '.']","['B-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'I-Term', 'O']","{('Term', 10, 10), ('Term', 25, 25), ('Term', 32, 34), ('Term', 14, 15), ('Term', 0, 1), ('Term', 20, 20)}","['turbine', 'electricity', 'renewable energy generation', 'blade lengths', 'Wind turbines', 'wind']"
"['The', 'first', 'commercial', 'wind', 'farm', 'in', 'the', 'UK', ',', 'built', 'in', '1991', 'at', 'Delabole', 'in', 'Growth', 'in', 'size', 'of', 'commercial', 'wind', 'turbine', 'design', '©', 'EWEA', 'Cornwall', ',', 'used', '400', 'kilowatt', '(', 'kW', ')', 'turbines', ',', 'while', 'the', 'latest', 'trials', 'have', 'involved', 'turbines', 'ten', 'times', 'more', 'powerful', ',', 'of', 'four', 'megawatts', '(', 'MW', ')', 'and', 'above', '.']","['O', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O']","{('Term', 33, 33), ('Term', 29, 29), ('Term', 31, 31), ('Term', 41, 41), ('Term', 49, 49), ('Term', 51, 51), ('Term', 20, 21), ('Term', 3, 4)}","['turbines', 'kilowatt', 'kW', 'turbines', 'megawatts', 'MW', 'wind turbine', 'wind farm']"
"['The', 'average', 'size', 'of', 'an', 'onshore', 'wind', 'turbine', 'installed', 'in', '2005', 'was', 'approximately', '2', 'MW', '.']","['O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 14, 14), ('Term', 5, 7)}","['MW', 'onshore wind turbine']"
"['Wind', 'turbines', 'have', 'an', 'average', 'working', 'life', 'of', '20', '-', '25', 'years', ',', 'after', 'which', 'the', 'turbines', 'can', 'be', 'replaced', 'with', 'new', 'ones', 'or', 'decommissioned', '.']","['B-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 16, 16), ('Term', 0, 1)}","['turbines', 'Wind turbines']"
"['Old', 'turbines', 'can', 'be', 'sold', 'in', 'the', 'second', 'hand', 'market', 'and', 'they', 'also', 'have', 'a', 'scrap', 'value', 'which', 'can', 'be', 'used', 'for', 'any', 'ground', 'restoration', 'work', '.']","['O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 1, 1)}",['turbines']
